transaction_id,date,amount
1,11/26/2024,$561.29 
2,11/3/2024,$513.54 
3,2/8/2025,$733.40 
4,12/21/2024,$231.72 
5,1/18/2025,$0.65 
6,11/12/2025,$709.65 
7,10/29/2025,$882.57 
8,2/27/2025,$212.41 
9,12/9/2025,$440.55 
10,11/26/2024,$36.52 
11,5/6/2025,$54.01 
12,11/28/2024,$78.40 
13,7/7/2025,$344.27 
14,8/8/2025,$525.54 
15,4/16/2025,$478.13 
16,9/20/2024,$962.22 
17,2/1/2025,$56.09 
18,10/7/2024,$36.94 
19,10/20/2025,$922.89 
20,11/11/2024,$113.58 
21,12/12/2025,$239.73 
22,8/7/2025,$744.61 
23,1/15/2025,$651.28 
24,9/23/2025,$987.11 
25,10/23/2024,$548.55 
26,3/21/2025,$40.34 
27,11/6/2024,$630.88 
28,2/17/2025,$795.12 
29,6/13/2025,$548.76 
30,9/19/2025,$806.85 
31,10/26/2025,$551.69 
32,12/16/2024,$252.18 
33,11/26/2024,$44.00 
34,5/14/2025,$694.50 
35,8/5/2025,$655.40 
36,10/5/2025,$498.25 
37,11/10/2025,$346.01 
38,9/26/2025,$333.00 
39,3/10/2025,$791.74 
40,9/7/2025,$601.33 
41,7/1/2025,$346.58 
42,9/9/2025,$407.71 
43,7/2/2025,$564.79 
44,3/24/2025,$503.02 
45,12/6/2025,$891.87 
46,6/22/2025,$516.87 
47,5/20/2025,$259.76 
48,3/27/2025,$686.36 
49,12/31/2024,$542.03 
50,10/25/2024,$865.91 
51,2/23/2025,$12.94 
52,1/29/2025,$203.97 
53,10/30/2024,$140.89 
54,1/26/2025,$97.39 
55,11/26/2025,$404.81 
56,1/20/2025,$54.95 
57,8/22/2025,$860.44 
58,10/16/2025,$960.14 
59,8/20/2025,$219.77 
60,9/26/2025,$617.74 
61,12/3/2025,$284.58 
62,3/26/2025,$909.11 
63,9/8/2024,$43.49 
64,12/9/2024,$733.06 
65,3/10/2025,$48.24 
66,7/30/2025,$783.92 
67,11/14/2025,$560.58 
68,8/4/2024,$819.14 
69,3/26/2025,$815.83 
70,6/26/2025,$513.54 
71,8/27/2025,$492.02 
72,9/28/2025,$756.84 
73,1/31/2025,$909.90 
74,2/15/2025,$708.88 
75,3/12/2025,$131.64 
76,12/30/2024,$12.92 
77,11/3/2024,$684.26 
78,3/24/2025,$601.54 
79,4/20/2025,$254.18 
80,8/19/2024,$396.21 
